hue,name,hex,red,green,blue,sat,light
0.0,Black,#000000,0,0,0,0.0,0.0
0.0,Onyx,#0f0f0f,15,15,15,0.0,5.9
0.0,Davy grey,#555555,85,85,85,0.0,33.3
0.0,Dim gray,#696969,105,105,105,0.0,41.2
0.0,Gray,#808080,128,128,128,0.0,50.2
0.0,Trolley Grey,#808080,128,128,128,0.0,50.2
0.0,Dark gray,#a9a9a9,169,169,169,0.0,66.3
0.0,Silver,#c0c0c0,192,192,192,0.0,75.3
0.0,Light gray,#d3d3d3,211,211,211,0.0,82.7
0.0,Gainsboro,#dcdcdc,220,220,220,0.0,86.3
0.0,White smoke,#f5f5f5,245,245,245,0.0,96.1
0.0,White,#ffffff,255,255,255,0.0,100.0
0.0,Copper rose,#996666,153,102,102,20.0,50.0
0.0,Rose taupe,#905d5d,144,93,93,21.5,46.5
0.0,Rosy brown,#bc8f8f,188,143,143,25.1,64.9
0.0,Seal brown,#321414,50,20,20,42.9,13.7
0.0,Dark sienna,#3c1414,60,20,20,50.0,15.7
0.0,Fuzzy Wuzzy,#cc6666,204,102,102,50.0,60.0
0.0,Chestnut,#cd5c5c,205,92,92,53.1,58.2
0.0,Indian red,#cd5c5c,205,92,92,53.1,58.2
0.0,Auburn,#a52a2a,165,42,42,59.4,40.6
0.0,Brown,#a52a2a,165,42,42,59.4,40.6
0.0,Red brown,#a52a2a,165,42,42,59.4,40.6
0.0,Persian plum,#701c1c,112,28,28,60.0,27.5
0.0,Persian red,#cc3333,204,51,51,60.0,50.0
0.0,Firebrick,#b22222,178,34,34,67.9,41.6
0.0,Falu red,#801818,128,24,24,68.4,29.8
0.0,Baby pink,#f4c2c2,244,194,194,69.4,85.9
0.0,Tea rose,#f4c2c2,244,194,194,69.4,85.9
0.0,Carnelian,#b31b1b,179,27,27,73.8,40.4
0.0,Cornell Red,#b31b1b,179,27,27,73.8,40.4
0.0,Light coral,#f08080,240,128,128,78.9,72.2
0.0,Lust,#e62020,230,32,32,79.8,51.4
0.0,Maroon,#800000,128,0,0,100.0,25.1
0.0,Dark red,#8b0000,139,0,0,100.0,27.3
0.0,Crimson Red,#990000,153,0,0,100.0,30.0
0.0,Stizza,#990000,153,0,0,100.0,30.0
0.0,USC Cardinal,#990000,153,0,0,100.0,30.0
0.0,Dark candy apple red,#a40000,164,0,0,100.0,32.2
0.0,Boston University Red,#cc0000,204,0,0,100.0,40.0
0.0,Rosso corsa,#d40000,212,0,0,100.0,41.6
0.0,Red,#ff0000,255,0,0,100.0,50.0
0.0,Coral red,#ff4040,255,64,64,100.0,62.5
0.0,Light salmon pink,#ff9999,255,153,153,100.0,80.0
